sent0,sent1,labels
Alcoholic beverage can be sold to adults.,Alcoholic beverage can be sold to teenagers.,0
We are asking people to boycott the companies that use child labor.,We are asking people to support companies that use child labor.,0
"The kid is walking with a brisk pace, and his grandpa can hardly keep up with him.","The kid is walking with a brisk pace, and his grandpa can easily keep up with him.",0
"If you want the audience to laugh, you should say something frightening.","If you want the audience to laugh, you should say something humorous.",1
"He has been resting, so he soon learned to swim.","He has been practicing, so he soon learned to swim.",1
people enjoy a peaceful and prosperous life under the tyranny of kings.,The people live a miserable life under the tyranny of the king.,1
The principle of windmills is to generate electricity by means of a cloud.,The principle of windmills is to generate electricity by means of the wind.,1
Huge glaciers can be seen in Antarctica.,Huge glaciers can be seen at the equator.,0
He has a good reputation because he often helps others.,He has a good reputation because he often bullies others.,0
We should keep the salt in a dry place.,We should keep the salt in a moist place.,0
A autocratic society allows different views to exist in harmony.,A liberal society allows different views to exist in harmony.,1
The failure capital raising offers this company a terrific opportunity to grow.,The successful capital raising offers this company a terrific opportunity to grow.,1
The man bought a loaf of bread at the shoeshop.,The man bought a loaf of bread at the bakery.,1
He was revered for his betrayal by his fellow countrymen.,He was revered for his bravery by his fellow countrymen.,1
The film star was arrested because of taking cold medicine.,The film star was arrested because of taking psychedelic drugs.,1
Burning trash purifies air quality.,Burning trash aggravates air quality.,1
"I am weary after this long journey, and I need a dance.","I am weary after this long journey, and I need some rest.",1
Humans can explore the universe with the ship.,Humans can explore the universe with the spaceship.,1
Obese children should reduce the intake of junk food.,Obese children should increase the intake of junk food.,0
Children can play near high voltage lines.,Children shouldn't play near high voltage lines.,1
His mother is happy about the clothes scattered on the floor.,His mother is angry about the clothes scattered on the floor.,1
"The hotel has exclusive access to the beach, and everyone can walk from here.","The hotel has exclusive access to the beach, and only its customers can walk from here.",1
The injured leg has improved his ability to run.,The injured leg has impaired his ability to run.,1
We must follow the guidelines when we operate the machine for the first time.,We should tamper with the machine by ourselves when we operate it for the first time.,0
He often smiles to others and everyone thinks he is fierce.,"He often stares at others, and everyone thinks he is fierce.",1
Sport and recreation have always been part of university life.,Sport and recreation have always been all of university life.,0
"When we catch the thief, we should kill him.","When we catch the thief, we should take him to the police station.",1
He went to the orchard to pick fruit.,He went to the orchard to buy books.,0
I can see his hair directly.,I can see his thoughts directly.,0
Grandma is sitting in the sun enjoying the cool.,Grandma is sitting under the tree enjoying the cool.,1
We must try our best to increase the likelihood of war.,We must try our best to reduce the likelihood of war.,1
Noodle can be used for making coins.,Nickel can be used for making coins.,1
His finger was hurt by the thorn on the rose.,His finger was hurt by the petal on the rose.,0
You will be unable to move if you fall into the water.,You will be unable to move if you get stuck in the swamp.,1
Prick a hole in the paper with a thread.,Prick a hole in the paper with a pin.,1
The clusters of rubbish in the garden look gorgeous.,The clusters of flowers in the garden look gorgeous.,1
"He was very suspicious of her, so he told her everything he knew.",He trusted her so much that he told her everything he knew.,1
He scraped the mud off his boots before getting into the room.,He licked the mud off his boots before getting into the room.,0
The roof is an integral part of the house.,The yard is an integral part of the house.,0
Passengers are quite satisfied with the teacher's service during this flight.,Passengers are quite satisfied with the flight attendants' service during this flight.,1
Ample garbage and waste are bringing the crops on nicely.,Ample sunshine and rainfall are bringing the crops on nicely.,1
It's a serious crime to consign an animal into Britain.,It's a serious crime to smuggle an animal into Britain.,1
Many remote areas are still suffering from scarce supplies of water.,Many remote areas are still suffering from scarce supplies of air.,0
"As an irresponsible teacher, she knows perfectly the merits and shortcomings of her students.","As a competent teacher,she knows perfectly the merits and shortcomings of her students.",1
The tiger has spots on its body.,Leopards have spots on their bodies.,1
The strong odor of flowers terribly bothered the neighbors.,The strong odor of garbage terribly bothered the neighbors.,1
He took a long bath in the tub after a day's work.,He took a long bath in the pot after a day's work.,0
I twisted the rope around her injured leg.,I twisted the bandage round her injured leg.,1
The company spent a large amount of money replacing obsolete devices.,The company spent a large amount of money replacing the latest devices.,0
